country,province,region,municipality,name,website,medium,originalContent,releaseFrequency,commercialPublisher,publisher,individualOrOrganisation,contentType,contentArea,contentQuality
Nederland,Noord-Brabant,West-Brabant,Bergen op Zoom,Theater de Maagd,https://www.demaagd.nl/pQ4rWUY/nieuws/nieuws,Theatersite,YES,WEEKLY,YES,Theater de Maagd,ORGANIZATION,MIX,Bergen op Zoom,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Roosendaal,Gemeente Roosendaal,https://roosendaal.nl/nieuwsoverzicht,Gemeentesite,YES,WEEKLY,NO,Gemeente,ORGANIZATION,MIX,Roosendaal,HIGH
Nederland,Noord-Brabant,West-Brabant,Roosendaal,Roosendaal Today,https://roosendaaltoday.nl/,Nieuwssite,MIX,DAILY,UNSURE,Roosendaal Today,ORGANIZATION,JOURNALISM,Roosendaal,HIGH
Nederland,Noord-Brabant,West-Brabant,Roosendaal,Roosendaal.city,https://roosendaal.city/nieuws,Nieuwssite,NO,DAILY,UNSURE,Roosendaal City,ORGANIZATION,JOURNALISM,Roosendaal,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Roosendaal,Roosendaal Lokaal,https://www.roosendaallokaal.nl/,Nieuwssite,YES,DAILY,NO,Roosendaal Lokaal,ORGANIZATION,JOURNALISM,Roosendaal,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Roosendaal,Theater de Kring Roosendaal,https://www.dekringroosendaal.nl/,Theatersite,YES,UNSURE,NO,Stichting Schouwburg De Kring,ORGANIZATION,MIX,Roosendaal,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Steenbergen,Gemeente Steenbergen,https://www.gemeente-steenbergen.nl/nieuws_en_persberichten/,Gemeentesite,YES,WEEKLY,YES,Gemeente,ORGANIZATION,JOURNALISM,Steenbergen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Steenbergen,Kijk op Steenbergen,https://www.kijkopsteenbergen.nl/,Nieuwssite,YES,WEEKLY,YES,"Steenbergen, Dinteloord, Nieuw-Vossemeer, Kruisland, Welberg, de Heen",ORGANIZATION,MIX,Steenbergen,LOW
Nederland,Noord-Brabant,West-Brabant,Steenbergen,Steenbergse Courant,https://steenbergsecourant.nl/,Krant,MIX,UNSURE,YES,"Steenbergen, Dinteloord, Nieuw-Vossemeer, Kruisland, Welberg, de Heen",ORGANIZATION,JOURNALISM,Steenbergen,LOW
Nederland,Noord-Brabant,West-Brabant,Steenbergen,Internetbode Steenbergen,https://www.internetbode.nl/steenbergen,Nieuwssite,MIX,DAILY,YES,Uitgeverij de Bode,ORGANIZATION,JOURNALISM,Steenbergen,HIGH
Nederland,Noord-Brabant,West-Brabant,Steenbergen,Steenbergennieuws.nl,https://steenbergen.nieuws.nl/,,NO,DAILY,YES,Nort Groep B.V.,ORGANIZATION,JOURNALISM,Steenbergen,LOW
Nederland,Noord-Brabant,West-Brabant,Halderberge,Gemeente Halderberge,https://www.halderberge.nl/nieuwsoverzicht,Gemeentesite,YES,WEEKLY,NO,Gemeente Halderberge,ORGANIZATION,MIX,Halderberge,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Halderberge,Haldenberge.nieuws.nl,https://halderberge.nieuws.nl/category/gemeente/,Nieuwssite,NO,DAILY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Halderberge,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Halderberge,Halderbergsecultuurmaand,https://www.halderbergsecultuurmaand.nl/nieuws--nieuwsbrief.html,Site stichting,YES,UNSURE,UNSURE,Gemeente Halderberge,ORGANIZATION,SERVICE,Halderberge,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Etten-Leur,Etten-Leur.nieuws.nl,https://etten-leur.nieuws.nl/category/gemeente/,Nieuwssite,MIX,WEEKLY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Etten-Leur,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Etten-Leur,Gemeente Etten-leur,https://www.etten-leur.nl/actueel/,Gemeentesite,YES,WEEKLY,NO,Gemeente Etten-leur,ORGANIZATION,SERVICE,Etten-Leur,HIGH
Nederland,Noord-Brabant,West-Brabant,Etten-Leur,Theater de Nobelaer,https://www.denobelaer.nl/nieuws,Theatersite,YES,UNSURE,YES,De Nobelaer B.V.,ORGANIZATION,MIX,Etten-Leur,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Drimmelen,Drimmelen.nieuws.nl,https://drimmelen.nieuws.nl/category/gemeente/,Nieuwssite,MIX,WEEKLY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Drimmelen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Drimmelen,Omroep Drimmelen,https://www.omroepdrimmelen.nl/,Omroep,MIX,DAILY,NO,Stichting Lokale Omroep Drimmelen,ORGANIZATION,MIX,Drimmelen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Drimmelen,Gemeente Drimmelen,https://drimmelen.nl/nieuwsoverzicht,Gemeentesite,YES,WEEKLY,NO,Gemeente Drimmelen,ORGANIZATION,MIX,Drimmelen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Altena,Gemeente Altena,https://www.gemeentealtena.nl/nieuws,Gemeentesite,YES,WEEKLY,NO,Gemeente Altena,ORGANIZATION,MIX,Gemeente Altena,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Altena,Altena.net,https://www.altena.net/trefwoorden/werkendam,Nieuwssite,YES,WEEKLY,NO,Mediaplein Altena.Net,ORGANIZATION,MIX,Altena,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Altena,Het Kontakt,https://www.hetkontakt.nl/altena,Nieuwssite,YES,DAILY,YES,Het Kontakt Edities B.V.,ORGANIZATION,JOURNALISM,Altena,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Altena,Altena TV,https://www.altenatv.nl/nieuws/,Omroep,YES,WEEKLY,NO,RTV Altena,ORGANIZATION,JOURNALISM,Altena,LOW
Nederland,Noord-Brabant,West-Brabant,Altena,Radio A-FM,http://a-fmw.radioafm.nl/nieuws/altena/,Omroep,YES,WEEKLY,NO,RTV Altena,ORGANIZATION,JOURNALISM,Altena,LOW
Nederland,Noord-Brabant,West-Brabant,Altena,Genderen Digitaal,https://genderendigitaal.nl/,Nieuwssite,MIX,WEEKLY,NO,Dorpsraad Genderen,ORGANIZATION,MIX,Genderen,LOW
Nederland,Noord-Brabant,West-Brabant,Altena,Altena Nieuws,https://www.altenanieuws.nl/,Krant,YES,WEEKLY,YES,Damen Altena Pers b.v.,ORGANIZATION,MIX,Gemeente Altena,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Altena,altena.nieuws.nl,http://altena.nieuws.nl/,Nieuwssite,MIX,DAILY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Gemeente Altena,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Altena,Je komt uit Hank als...,https://www.facebook.com/groups/hanksemensen?locale=nl_NL,Facebookpagina,MIX,DAILY,NO,Hank,INDIVIDUAL,MIX,Hank,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Geertruidenberg,Geertruidenberg.nieuws.nl,https://geertruidenberg.nieuws.nl/category/nieuws/,Nieuwssite,NO,DAILY,YES,Nort Groep B.V.,ORGANIZATION,MIX,Geertruidenberg,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Geertruidenberg,Geertruydenberghe,https://geertruydenberghe.nl/kringnieuws-overzicht/,Site stichting / krant,YES,UNSURE,NO,Vereniging Oudheidkundige Kring Geertruydenberghe,ORGANIZATION,SERVICE,Geertruidenberg,LOW
Nederland,Noord-Brabant,West-Brabant,Geertruidenberg,Gemeente Geertruidenberg,https://www.geertruidenberg.nl/nieuws,Gemeente,YES,WEEKLY,NO,Gemeente Geertruidenberg,ORGANIZATION,SERVICE,Geertruidenberg,LOW
Nederland,Noord-Brabant,West-Brabant,Rucphen,Rucphen RTV,https://rucphenrtv.nl/,Omroep,YES,DAILY,NO,Rucphen RTV,ORGANIZATION,JOURNALISM,Rucphen,MEDIUM
Nederland,Noord-Brabant,West-Brabant,Rucphen,Gemeente Rucphen,https://www.rucphen.nl/Inwoner/Nieuws,Gemeentesite,YES,WEEKLY,NO,Gemeente Rucphen,ORGANIZATION,SERVICE,Rucphen,MEDIUM
